District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
BEIRUT,RAS BEIRUT,HAMRA,YALA STOP BLISS,Super Market,5,35.4788,33.898,2
BEIRUT,ACHRAFIEH,SASSINE,MOUNIF NASSAR,GROCERY,6,35.5204,33.8881,2
BEIRUT,MARFAA,BEIRUT PORT,BONJOUR PORT,Petrol Station,5,35.5331,33.898,2
BEIRUT,RAS BEIRUT,HAMRA,YALA STOP HAMRA,Super Market,5,35.4836,33.8939,2
BEIRUT,RAS BEIRUT,HAMRA,CHOUMAN EXPRESS,Newelneh,4,35.4832,33.8941,2
BEIRUT,ZOUKAK BLAT,PATRIARCAT,ATRISS CAFE,Newelneh,4,35.4985,33.8938,2
BEIRUT,BASHOURA,BECHARA EL KHOURY,TRIO CAFE,Newelneh,5,35.5067,33.8901,2
BEIRUT,ACHRAFIEH,SIOUFI,HANNA GHARIB MM,GROCERY,5,35.525,33.885,2
BEIRUT,RAS BEIRUT,AIN MREISSEH,AL OMDA CAFE,Newelneh,4,35.4887,33.9012,2
BEIRUT,RAS BEIRUT,HAMRA,MM EL KARAMY,GROCERY,5,35.4812,33.8948,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,BONJOUR UNESCO,Super Market,5,35.4859,33.875,2
BEIRUT,ACHRAFIEH,SASSINE,MARCELLE KIOSK,KIOSK,5,35.5206,33.8874,2
BEIRUT,RAS BEIRUT,KRAITEM,AL FAKHANI (SAKIEH),GROCERY,4,35.4797,33.8883,2
BEIRUT,RAS BEIRUT,HAMRA,MM ITANI,GROCERY,5,35.4817,33.8926,2
BEIRUT,MOUSAITBEH,ZARIF,DARWISH MM,GROCERY,5,35.4931,33.8901,2
BEIRUT,MAZRAA,BADARO,BOUCHRIEH BCHARA,GROCERY,5,35.5162,33.8734,2
BEIRUT,ACHRAFIEH,RMEIL,COIN MARKET JEITAWI,GROCERY,4,35.5263,33.8924,2
BEIRUT,BASHOURA,BECHARA EL KHOURY,AUTOMATICO CAFE,Newelneh,5,35.5067,33.8901,2
BEIRUT,RAS BEIRUT,HAMRA,SPECIAL,GROCERY,5,35.4748,33.8977,2
BEIRUT,RAS BEIRUT,HAMRA,El Makhazen (COMODOR),Super Market,5,35.4812,33.8947,2
BEIRUT,MAZRAA,BADARO,GRAB N GO (Badaro),Petrol Station,5,35.5157,33.8723,2
BEIRUT,RAS BEIRUT,HAMRA,GRAB N GO - HAMRA CLEMENCEAU,Super Market,4,35.4919,33.8952,2
BEIRUT,ACHRAFIEH,SIOUFI,GRAB N GO (SIOUFI),Petrol Station,5,35.5234,33.8868,2
BEIRUT,MOUSAITBEH,BORJ ABI HAIDAR,BONJOUR - BOURJ ABOU HAIDAR,Super Market,5,35.4976,33.881,2
BEIRUT,MOUSAITBEH,HAY EL LIJA,BONJOUR - MOUSAYTBE,Super Market,5,35.4979,33.8875,2
BEIRUT,MAZRAA,MAZRAA,BONJOUR - MAZRAA,Super Market,5,35.4966,33.8791,2
BEIRUT,MAJIDIYEH,DOWN TOWN,SPINNEYS - DT,Super Market,4,35.5028,33.8991,2
BEIRUT,RAS BEIRUT,KRAITEM,SPINNEYS - Qraytem,Super Market,5,35.4792,33.886,2
BEIRUT,MAZRAA,MAZRAA,YALA STOP - Mazraa,Super Market,5,35.4993,33.8785,2
BEIRUT,MOUSAITBEH,Ramlet Al Bayda,YALA STOP - UNESCO,Super Market,5,35.486,33.8775,2
BEIRUT,RMEIL,MAR MICHAEL,BONJOUR - Pierre Gemayel,Newelneh,5,35.5357,33.8953,2
BEIRUT,BASHOURA,BECHARA EL KHOURY,CHARTONI CAFE,Newelneh,5,35.5065,33.8899,2
BEIRUT,RMEIL,MAR MICHAEL,Ble Dor,GROCERY,4,35.526,33.8971,2
BEIRUT,ACHRAFIEH,SASSINE,LA MAIZONNE,GROCERY,5,35.5193,33.8871,2
BEIRUT,SAIFI,TABARIS,HIBOU - TABARIS,GROCERY,5,35.5124,33.8913,2
BEIRUT,MAZRAA,BOURJ ABOU HAYDAR,SM MATAHEN LEBNEN,GROCERY,4,35.4964,33.8823,2
BEIRUT,RAS BEIRUT,VERDUN,Happy - Verdun,Super Market,4,35.4872,33.8858,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,MAHALLAT JAMIL NASSER,GROCERY,5,35.4986,33.8717,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,FAKHANI,Super Market,4,35.4986,33.8719,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,AKID MART,GROCERY,5,35.4999,33.8753,2
BEIRUT,RAS BEIRUT,HAMRA,FADI KIOSK,Newelneh,5,35.4847,33.8991,2
BEIRUT,SAIFI,TABARIS,BONJOUR Tabariz,Petrol Station,5,35.514326,33.8916029,2
BEIRUT,RAS BEIRUT,HAMRA,AL ZOUGHBI MARKET,GROCERY,5,35.4834,33.893,2
BEIRUT,RAS BEIRUT,KRAITEM,UPPER GATE,GROCERY,4,35.4774,33.8936,2
BEIRUT,RAS BEIRUT,VERDUN,AL RAYDAN MARKET,GROCERY,5,35.4827,33.8898,2
BEIRUT,RAS BEIRUT,VERDUN,BEN VERDUN,KIOSK,5,35.4832,33.8874,2
BEIRUT,MARFAA,BEIRUT PORT,AL RABIH MM,Newelneh,4,35.5122,33.8977,2
BEIRUT,RMEIL,MAR MICHAEL,Saliba Market,GROCERY,5,35.5246,33.8964,2
BEIRUT,MAZRAA,BOURJ ABOU HAYDAR,ZAATARE MM,GROCERY,5,35.5014,33.8852,2
BEIRUT,RAS BEIRUT,AIN MREISSEH,HARB SHOP,GROCERY,5,35.4893,33.9,2
BEIRUT,RAS BEIRUT,HAMRA,LATTE ART,Newelneh,4,35.4838,33.8992,2
BEIRUT,RAS BEIRUT,HAMRA,LE SAM,GROCERY,4,35.4819,33.8993,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,RAMAL Jnah,Super Market,5,35.4890066,33.8737149,2
BEIRUT,RAS BEIRUT,BEIRUT,Saj Express,Newelneh,4,35.4734353,33.8945548,2
BEIRUT,ACHRAFIEH,RMEIL,DAOU MINIMARKET,GROCERY,5,35.529,33.8921,2
BEIRUT,ACHRAFIEH,SODECO,ROGER ANTONIOS,GROCERY,5,35.5115,33.883,2
BEIRUT,MOUSAITBEH,ZARIF,MINI by MAKHAZEN,Super Market,5,35.4923539,33.8895328,2
BEIRUT,RAS BEIRUT,Rawshe,AL TAWFEER Rawche,Super Market,5,35.4741665,33.893681,2
BEIRUT,ACHRAFIEH,SASSINE,MM SKAF,GROCERY,6,35.5203,33.8875,2
BEIRUT,MOUSAITBEH,ZARIF,LABNE W JEBNE,GROCERY,5,35.497,33.8886,2
BEIRUT,RAS BEIRUT,HAMRA,MUNCH BOX,GROCERY,4,35.4796,33.8972,2
BEIRUT,RAS BEIRUT,HAMRA,CMC MART,GROCERY,5,35.487,33.8952,2
BEIRUT,RAS BEIRUT,HAMRA,KHALIFE MARKET,GROCERY,6,35.4839,33.894,2
BEIRUT,RAS BEIRUT,HAMRA,HAMRA SNACK,Newelneh,5,35.4857,33.8949,2
BEIRUT,MOUSAITBEH,TALLET KHAYAT,ZAHI EXPRESS,Newelneh,5,35.4869,33.8873,2
BEIRUT,RAS BEIRUT,VERDUN,EL HAITHAM VERDUN,GROCERY,4,35.4823,33.8868,2
BEIRUT,RAS BEIRUT,VERDUN,NOUR CAFE,Newelneh,5,35.4838,33.883,2
BEIRUT,RAS BEIRUT,RAOUCHE,JAL SUR MER CAFE,Newelneh,5,35.4756,33.9016,2
BEIRUT,RAS BEIRUT,Rawshe,Sakhra Café,Newelneh,5,35.4706,33.8921,2
BEIRUT,MAZRAA,BADARO,CRAVINGS,GROCERY,6,35.5179,33.8735,2
BEIRUT,ACHRAFIEH,RMEIL,MAKHOUL ZOUIN,GROCERY,5,35.511127,33.8934337,2
BEIRUT,RMEIL,GEMMAYZE,Bilal Market,GROCERY,5,35.5198,33.8956,2
BEIRUT,ACHRAFIEH,RMEIL,BERNARD ANKA MARKET,GROCERY,6,35.512,33.8951,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,KHAMES MARKET,GROCERY,4,35.5061,33.8761,2
BEIRUT,MAZRAA,BOURJ ABOU HAYDAR,B PLUS MM,GROCERY,4,35.4992,33.8838,2
BEIRUT,MAZRAA,BOURJ ABOU HAYDAR,GREEN MARKET,GROCERY,4,35.4989,33.8855,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,TABBARA MM,GROCERY,5,35.5033,33.8719,2
BEIRUT,RAS BEIRUT,AIN MREISSEH,Ali Murad Market,GROCERY,4,35.4914,33.9004,2
BEIRUT,MARFAA,MAJIDIYEH,MARKAZAH SANCK,GROCERY,5,35.5053,33.894,2
BEIRUT,RAS BEIRUT,Manara,FAKHANI CARACAS,GROCERY,4,35.4739,33.897,2
BEIRUT,RAS BEIRUT,Rawshe,EXPRESSO CAFE,Newelneh,5,35.4706,33.8948,2
BEIRUT,ZOUKAK BLAT,PATRIARCAT,SARRAY CAFE,Newelneh,5,35.4988,33.894,2
BEIRUT,ACHRAFIEH,RMEIL,LE PISTACHIER,GROCERY,6,35.5274,33.8974,2
BEIRUT,ACHRAFIEH,HOTEL DIEU,DAAET SARKIS,GROCERY,5,35.522,33.8854,2
BEIRUT,ACHRAFIEH,SIOUFI,MM GEORGES NAHED,GROCERY,5,35.5243,33.8864,2
