District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
BECAA,ZAHLE,Zahleh Rural,ANTAR,GROCERY,4,35.4908009,33.8182562,2
MOUNT LEBANON,BAABDA,JAMMHOUR,PARKING,GROCERY,4,35.5684,33.8313,2
MOUNT LEBANON,METN,DEKWANEH,WHATSAPP MARKET,GROCERY,6,35.5597,33.87,2
SOUTH,JEZZINE,JEZZINE ROAD,ABO SAIEED,GROCERY,5,35.5833,33.544,2
MOUNT LEBANON,SHOUF,MAZBOUD,CHAFEEK MM,GROCERY,5,35.4748,33.6134,2
BECAA,ZAHLE,Zahleh Rural,SM FERZOL,Super Market,5,35.9436,33.8738,2
BECAA,ZAHLE,Zahle City,8 TO LATE,GROCERY,5,35.9101,33.8373,2
BECAA,ZAHLE,Zahleh Rural,PHOENICIA ANJAR,Petrol Station,4,35.9178,33.7357,2
BECAA,ZAHLE,Zahleh Rural,EL MEIS CENTER,GROCERY,4,35.9115,33.7597,2
BECAA,ZAHLE,Zahleh Rural,TELIANY,GROCERY,4,35.9113,33.7585,2
MOUNT LEBANON,ALEY,AYTAT,AITAT MARKET,GROCERY,5,35.5598,33.7918,2
MOUNT LEBANON,BAABDA,BATCHAY,HANNA MARKET,GROCERY,4,35.545,33.8244,2
MOUNT LEBANON,BAABDA,JAMMHOUR,YASHA MARKET,GROCERY,4,35.5737,33.8288,2
MOUNT LEBANON,DAHYEH,JAMOUS,MM ALAWEYI,GROCERY,5,35.518,33.8452,2
MOUNT LEBANON,ALEY,AARAMOUN,MARKET PLUS,GROCERY,5,35.4861,33.7948,2
MOUNT LEBANON,ALEY,BCHEMOUN,FAMILIA M.,GROCERY,5,35.5022,33.7804,2
MOUNT LEBANON,ALEY,CHOUEIFAT,AL MAHABA CAFE,Newelneh,4,35.5191,33.815,2
MOUNT LEBANON,ALEY,CHOUEIFAT,ESPRESSO,Newelneh,6,35.5012,33.8073,2
MOUNT LEBANON,ALEY,CHOUEIFAT,TOMA WEL HAJ (Abo Wade3),Newelneh,5,35.5075,33.8051,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,SHERRI MKT,GROCERY,5,35.4997,33.8374,2
MOUNT LEBANON,DAHYEH,TIRO,Al Hadi SM (TIRO),GROCERY,5,35.5038,33.8092,2
MOUNT LEBANON,DAHYEH,AMERCAN,MM BAKER,GROCERY,5,35.5249,33.8537,2
MOUNT LEBANON,SHOUF,SEMQANIYE,DRINKS SHOP,GROCERY,5,35.5849,33.6841,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,AOUAD SUPERMARKET,GROCERY,5,35.5245,33.8592,2
BECAA,BAALBACK,BAALBACK,S.M AL JALIL,GROCERY,4,36.1924,33.9997,2
BECAA,BAALBACK,HALANIYE,KANAA SM,GROCERY,5,36.1718,33.9906,2
BECAA,ZAHLE,Zahle City,SM GEORGE DAOUD,GROCERY,4,35.9071,33.8466,2
BECAA,ZAHLE,Zahleh Rural,EL MEIS MARKET,GROCERY,5,35.9023,33.7688,2
BECAA,WEST BECAA,KAMED EL LAOUZ,S.M RAWAD,GROCERY,5,35.8169,33.6227,2
MOUNT LEBANON,SHOUF,KFARHIM,ZAHER MARKET,GROCERY,5,35.5248,33.6892,2
MOUNT LEBANON,ALEY,AARAMOUN,El Barakeh Market,GROCERY,5,35.4857,33.7925,2
MOUNT LEBANON,DAHYEH,SFEIR,CAFE CLASS,Newelneh,4,35.5218,33.8501,2
MOUNT LEBANON,DAHYEH,TIRO,MM SARA OMT,GROCERY,5,35.5067,33.8109,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,SM ZEIN,GROCERY,5,35.513,33.8437,2
MOUNT LEBANON,SHOUF,BOQAATA,ONE SHOT,GROCERY,4,35.6071,33.6703,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,CARLA MM,GROCERY,5,35.5188,33.8671,2
NORTH,KOURA,KFAR AAQQA,MEDCO KOURA,Petrol Station,5,35.8393,34.2977,2
SOUTH,SAIDA,ABRA,FADI MM.,GROCERY,5,35.3977,33.5628,2
SOUTH,JEZZINE,AIN EL MIR,NEJEM .MM,GROCERY,5,35.4519,33.5495,2
MOUNT LEBANON,SHOUF,BOURJEIN,EBN ABO WAEL MM,GROCERY,5,35.4867,33.6571,2
MOUNT LEBANON,BAABDA,CHIYAH,ROMEH MM,GROCERY,4,35.5127,33.8685,2
BECAA,ZAHLE,Zahleh Rural,NEW FOODIES,GROCERY,4,35.9431,33.8577,2
BECAA,ZAHLE,Zahleh Rural,SM NAZIH JADOUH,GROCERY,4,35.8733,33.8203,2
BECAA,BAALBACK,HALANIYE,ELEGANCE MARKET,GROCERY,4,36.1009,33.9402,2
BECAA,ZAHLE,Zahleh Rural,AL GHADBAN,GROCERY,5,35.8839,33.7626,2
BECAA,ZAHLE,Zahleh Rural,IBRAHIM EL SAYYED,GROCERY,5,35.884,33.763,2
BECAA,WEST BECAA,SAGHBINE,M.M AL MASRI,GROCERY,5,35.742,33.6618,2
BECAA,ZAHLE,Zahleh Rural,MM CHAHINE NABHANE,GROCERY,4,35.9941,33.7861,2
BECAA,BAALBECK,BEDNAYEL,S Mart,GROCERY,5,36.0085,33.908,2
BECAA,RACHAYA,RAFID,AL SABIL,GROCERY,4,35.8401,33.5959,2
MOUNT LEBANON,ALEY,ALEY,ZAHLAN M.M,GROCERY,4,35.5978,33.8081,2
MOUNT LEBANON,ALEY,ALEY,GHADY mm,GROCERY,4,35.6094,33.8079,2
MOUNT LEBANON,ALEY,BAISOUR,BASHAR MARKET,GROCERY,5,35.5627,33.7714,2
MOUNT LEBANON,SHOUF,DAMOUR,M.M EL SEHA JABER ANTOUN,GROCERY,5,35.4569,33.7289,2
MOUNT LEBANON,SHOUF,DAMOUR,TOTAL BONJOUR,Petrol Station,5,35.45,33.7067,2
MOUNT LEBANON,ALEY,KABER SHMOUN,Husein Zib,GROCERY,4,35.5428,33.753,2
MOUNT LEBANON,SHOUF,KFARHIM,MARWAN ABO DARGHAM,GROCERY,4,35.517,33.6884,2
MOUNT LEBANON,ALEY,ALEY,COFFE SHOP,Newelneh,4,35.628,33.8125,2
MOUNT LEBANON,DAHYEH,AL AJNIHA,AL KHALIL SM,GROCERY,6,35.5083,33.8124,2
MOUNT LEBANON,ALEY,BCHEMOUN,ZAHRA MARKET,GROCERY,4,35.5086,33.7768,2
MOUNT LEBANON,ALEY,DEIR QOUBEL,MARKAZ DEIR KOUBIL LLTAMWEEN,GROCERY,5,35.5158,33.794,2
MOUNT LEBANON,DAHYEH,HARET HREIK,IBEN LBALAD,GROCERY,5,35.5157,33.8527,2
MOUNT LEBANON,DAHYEH,SFEIR,JAZIRA MARKET,GROCERY,6,35.5208,33.8494,2
MOUNT LEBANON,DAHYEH,HAY AL SOLOUM,ABO SHARIF MKT,GROCERY,5,35.5127,33.8272,2
MOUNT LEBANON,DAHYEH,HAY AL SOLOUM,M.M EL SEHA maw2af,GROCERY,6,35.5117,33.8281,2
MOUNT LEBANON,DAHYEH,KAFAT,MOKHTAR MM,GROCERY,6,35.5229,33.8397,2
MOUNT LEBANON,SHOUF,BAAQLINE,BAAKLIN SM,GROCERY,5,35.5581,33.6791,2
MOUNT LEBANON,SHOUF,BEITEDDINE,STORE JAN ABI KHALIL,GROCERY,5,35.5818,33.6955,2
BECAA,BAALBECK,BAALBECK CITY,THE FAMILIES SM,GROCERY,4,36.18,33.9953,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,NEWELNI AL SARI3,Newelneh,5,35.5263,33.8633,2
BECAA,ZAHLE,Zahle City,IBRAHIM MARKET,GROCERY,4,35.919,33.8343,2
MOUNT LEBANON,ALEY,KHALDE,KHALDE MARKET,GROCERY,5,35.4726,33.7745,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,NAJI MKT,GROCERY,5,35.4994,33.8432,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,AL TAYB ALBAN AJBAN,GROCERY,5,35.4992,33.8432,2
MOUNT LEBANON,ALEY,CHOUEIFAT,CAFE 24 (2),Newelneh,4,35.5014,33.8058,2
MOUNT LEBANON,DAHYEH,HAY AL SOLOUM,MM TAHAN,GROCERY,6,35.5112,33.8294,2
MOUNT LEBANON,DAHYEH,TAHWITA AL GHADEER,AL HAWRAA MKT,GROCERY,5,35.511,33.8337,2
MOUNT LEBANON,METN,MANSOURIEH,UNITED STATION MM,Petrol Station,5,35.5689,33.8545,2
BECAA,ZAHLE,Zahleh Rural,EST DIMA HUSSEIN LAKIS,GROCERY,4,35.4908471,33.8182792,2
BECAA,ZAHLE,Zahleh Rural,HIGHWAY MARKET,GROCERY,5,35.9524,33.8634,2
BECAA,ZAHLE,Zahleh Rural,SM NEEMI,GROCERY,5,35.9452,33.8589,2
BECAA,ZAHLE,Zahleh Rural,SM KHALED JADOUH,GROCERY,5,35.8766,33.822,2
BECAA,ZAHLE,Zahleh Rural,MOUSSAED SM,GROCERY,5,35.986251,33.8203442,2
BECAA,ZAHLE,Zahle City,MM NABHANE,GROCERY,4,35.9083,33.8303,2
BECAA,ZAHLE,Zahle City,MM ANWAR CHAMAS,GROCERY,5,35.9086,33.8502,2
BECAA,RACHAYA,DAHER EL AHMAR,ZEIN DRINKS,GROCERY,4,35.8308,33.5335,2
BECAA,ZAHLE,Zahleh Rural,AL JARRAH,GROCERY,5,35.8829,33.7612,2
BECAA,ZAHLE,Zahleh Rural,ROUKOUZ EL HAJJ,GROCERY,5,36.0055,33.8501,2
BECAA,ZAHLE,Zahleh Rural,COCCINELLE,GROCERY,6,36.0065,33.8503,2
BECAA,ZAHLE,Zahleh Rural,BOURJI M.M,GROCERY,5,36.0146,33.8545,2
BECAA,RACHAYA,RAFID,HAJAR S.M,GROCERY,4,35.8333,33.5854,2
BECAA,ZAHLE,Zahleh Rural,TAANAYEL S.M,GROCERY,6,35.8852,33.7852,2
BECAA,BAALBECK,TAMNINE EL TAHTA,S.M MORTADA,GROCERY,4,35.9949,33.882,2
BECAA,ZAHLE,Zahleh Rural,MM MOHAMAD CHOKER,GROCERY,6,35.9905,33.7813,2
MOUNT LEBANON,ALEY,BAISOUR,M.M Afif El Aaridy,GROCERY,5,35.5671,33.7632,2
MOUNT LEBANON,SHOUF,NEAHME,JIRJES MATAR SM,GROCERY,5,35.458,33.7477,2
MOUNT LEBANON,ALEY,ALEY,ABO RAFEAA BAALECHMAY,GROCERY,5,35.6389,33.8121,2
MOUNT LEBANON,ALEY,BCHEMOUN,MAZAJ,GROCERY,5,35.5313,33.7813,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,HAJ SALIM MKT,GROCERY,6,35.5146,33.8428,2
MOUNT LEBANON,DAHYEH,HARET HREIK,AL NOUR SM,GROCERY,5,35.5126,33.8475,2
MOUNT LEBANON,DAHYEH,HARET HREIK,HASAN TAWFIC,GROCERY,5,35.5157,33.8448,2
MOUNT LEBANON,DAHYEH,HAY AL SOLOUM,AL KARIM SM (DAR),GROCERY,5,35.5133,33.8286,2
MOUNT LEBANON,DAHYEH,HAY AL SOLOUM,HAIDAR MKT,GROCERY,5,35.5076,33.8286,2
MOUNT LEBANON,METN,DEKWANEH,BONJOUR - DEKWENIH,Petrol Station,5,35.5448,33.8789,2
MOUNT LEBANON,BAABDA,HAZMIEH,Haber Market,GROCERY,6,35.5408,33.8582,2
MOUNT LEBANON,BAABDA,JAMMHOUR,MEDCO JOUMHOUR,Petrol Station,5,35.5556,33.8453,2
MOUNT LEBANON,METN,MANSOURIEH,RABIH MM,GROCERY,5,35.5747,33.8556,2
MOUNT LEBANON,METN,SIN EL FIL,YOUSIF HADDAD MM,GROCERY,6,35.5353,33.8831,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,STEP IN MARKET,GROCERY,5,35.5206,33.8635,2
BECAA,ZAHLE,Zahle City,NABIL.G.HREIZ,GROCERY,4,35.9025,33.8468,2
BECAA,ZAHLE,Zahle City,SM HADDAD,GROCERY,5,35.8993,33.8318,2
BECAA,ZAHLE,Zahleh Rural,NASSAR S.M,GROCERY,3,35.8622,33.8063,2
BECAA,ZAHLE,Zahle City,NAKHLE EST.,Newelneh,4,35.908,33.8297,2
BECAA,RACHAYA,Rachaya,BAYADER BAKERY,GROCERY,5,35.8716,33.6373,2
MOUNT LEBANON,ALEY,CHOUEIFAT,1ST SHUT (Al Nakhla),Newelneh,5,35.5195,33.815,2
MOUNT LEBANON,ALEY,CHOUEIFAT,SOB7 WITH MASA,Newelneh,4,35.5037,33.8054,2
MOUNT LEBANON,METN,DEKWANEH,AL MOKHTAR MM,GROCERY,5,35.5454,33.8751,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,FOUAD AL KHOURY,GROCERY,6,35.5194,33.8628,2
MOUNT LEBANON,DAHYEH,AMERCAN,DEKANEH,GROCERY,5,35.5237,33.855,2
MOUNT LEBANON,DAHYEH,Ozai,AL HADI MKT,GROCERY,6,35.4851,33.8436,2
MOUNT LEBANON,SHOUF,JIYEH,Shamy Mm,GROCERY,5,35.4215,33.6613,2
MOUNT LEBANON,SHOUF,RMEILET,JIHAD ABO RAFEAA CENTER,GROCERY,4,35.4022,33.6127,2
MOUNT LEBANON,SHOUF,RMEILET,ABO RAFEA,GROCERY,4,35.4024,33.612,2
MOUNT LEBANON,SHOUF,RMEILET,ATALLA MM,GROCERY,5,35.3993,33.6104,2
MOUNT LEBANON,DAHYEH,AMERCAN,AL ESRAA LELTAMWEEN,GROCERY,5,35.5153,33.8612,2
BECAA,ZAHLE,Zahleh Rural,HUSSEIN LAKIS EST,GROCERY,6,35.8552,33.8136,2
BECAA,ZAHLE,Zahle City,MIRNA MARKET,GROCERY,5,35.9155,33.8413,2
BECAA,ZAHLE,Zahleh Rural,CENTRE JADOUH,GROCERY,5,35.8769,33.8201,2
BECAA,ZAHLE,Zahle City,SM NMEIR,GROCERY,5,35.9081,33.8347,2
BECAA,ZAHLE,Zahleh Rural,AL AIN M.M,GROCERY,6,35.9298,33.7283,2
BECAA,ZAHLE,Zahleh Rural,WISSAM SABRI,GROCERY,5,35.9125,33.704,2
BECAA,BAALBECK,TAMNINE EL FAOUQA,AL BARAKA LIL TAMWIN,GROCERY,5,35.988,33.892,2
BECAA,BAALBECK,TAMNINE EL TAHTA,AL BUSTAN TRADING,GROCERY,5,35.99,33.8855,2
BECAA,RACHAYA,RAFID,ANWAR PETROL STATION,Petrol Station,5,35.8668,33.6325,2
MOUNT LEBANON,SHOUF,DAMOUR,GOLD COFFE,KIOSK,5,35.4357,33.6974,2
MOUNT LEBANON,ALEY,BHAMDOUN,RAYMOND,GROCERY,5,35.6502,33.7953,2
MOUNT LEBANON,ALEY,CHOUEIFAT,WAFIC SOUKI,GROCERY,5,35.5167,33.8092,2
MOUNT LEBANON,DAHYEH,AMERCAN,HUSSEIN WARDE,GROCERY,5,35.5162,33.8554,2
MOUNT LEBANON,DAHYEH,Ozai,FOOD MART,GROCERY,6,35.4978,33.8462,2
MOUNT LEBANON,DAHYEH,AAMROSIEH,AL NADA MM,GROCERY,4,35.5168,33.816,2
MOUNT LEBANON,DAHYEH,HARET HREIK,BIG MART,GROCERY,6,35.5102,33.8531,2
MOUNT LEBANON,DAHYEH,TAHWITA AL GHADEER,ZOLFIKAR MKT,GROCERY,6,35.5087,33.8324,2
MOUNT LEBANON,METN,DEKWANEH,DANI MARKET,GROCERY,6,35.5458,33.8749,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,ABU GHANEM MM,GROCERY,6,35.5281,33.8712,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,HANI MM,GROCERY,6,35.523,33.8737,2
MOUNT LEBANON,BAABDA,HADATH,K.LEADER,Petrol Station,5,35.5346,33.8493,2
MOUNT LEBANON,BAABDA,HAZMIEH,Michael Mm,GROCERY,6,35.5501,33.8524,2
MOUNT LEBANON,METN,SIN EL FIL,NAIM YAACOUB MM,GROCERY,5,35.5356,33.8806,2
MOUNT LEBANON,DAHYEH,ST. THARESE,Alsafe 2 St terrese,GROCERY,6,35.5241,33.8486,2
MOUNT LEBANON,DAHYEH,KAFAT,AL AMIR MM,GROCERY,6,35.5214,33.8405,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,EDWARD TANNOUS MM,GROCERY,6,35.5204,33.8741,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,CHALITA,GROCERY,5,35.5211,33.8739,2
MOUNT LEBANON,METN,QORAIEH,SM DAOU,GROCERY,4,35.6789,33.8074,2
MOUNT LEBANON,DAHYEH,TAHWITA AL GHADEER,NASSER MKT,GROCERY,6,35.5123,33.8321,2
MOUNT LEBANON,DAHYEH,JAMOUS,NICE CAFE,GROCERY,6,35.5182,33.8413,2
MOUNT LEBANON,DAHYEH,LAYLAKI,WADI AL ASSI,GROCERY,5,35.5187,33.8363,2
SOUTH,JEZZINE,JEZZINE ROAD,REZEA MM,GROCERY,5,35.5828,33.545,2
MOUNT LEBANON,DAHYEH,CHIYAH,SIBILINI ESPRESSO,Newelneh,5,35.5122,33.8594,2
MOUNT LEBANON,DAHYEH,CHIYAH,KDOUH S.M,GROCERY,4,35.5113,33.8619,2
MOUNT LEBANON,DAHYEH,JAMOUS,CHEHADE MARKET,GROCERY,5,35.514,33.8609,2
BECAA,ZAHLE,Zahleh Rural,ALI LAKIS EST,GROCERY,5,35.8551,33.8136,2
BECAA,ZAHLE,Zahleh Rural,Z HIGHWAY,GROCERY,4,35.8935,33.8238,2
BECAA,ZAHLE,Zahle City,FROMAGERIE SAGHBINI,GROCERY,5,35.9137,33.839,2
BECAA,ZAHLE,Zahleh Rural,MM GHALEB CHIKHANI,GROCERY,5,35.88,33.8235,2
BECAA,ZAHLE,Zahle City,MM TANNOURY,GROCERY,5,35.9029,33.8396,2
BECAA,ZAHLE,Zahle City,OSTA MARKET,GROCERY,6,35.9109,33.8381,2
BECAA,ZAHLE,Zahle City,GGA MARKET,GROCERY,5,35.9047,33.8392,2
BECAA,ZAHLE,Zahleh Rural,S.M ANJAR,GROCERY,5,35.9289,33.7277,2
BECAA,WEST BECAA,Mansoura,AL FAKIH,GROCERY,5,35.8164,33.6803,2
MOUNT LEBANON,ALEY,BAISOUR,Star Market,GROCERY,5,35.5657,33.7705,2
MOUNT LEBANON,ALEY,MAJDEL BAANA,EL TAMWEEB EL AAILY,GROCERY,5,35.6824,33.798,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,AL ZEIN LLTAMWEEN ALMASRY,GROCERY,6,35.5111,33.8485,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,AL MARAAI KHADRA _SAID,GROCERY,5,35.5024,33.8368,2
MOUNT LEBANON,ALEY,CHOUEIFAT,TOTAL TAWEEL,Petrol Station,5,35.4878,33.7996,2
MOUNT LEBANON,METN,DEKWANEH,GERYES SHAAR,GROCERY,6,35.5478,33.8759,2
MOUNT LEBANON,METN,DEKWANEH,SAYDEH MM,GROCERY,5,35.5513,33.8714,2
MOUNT LEBANON,BAABDA,HADATH,TANNOURI MM,GROCERY,5,35.5331,33.8351,2
MOUNT LEBANON,METN,SIN EL FIL,HANNA MM,GROCERY,6,35.5357,33.8804,2
MOUNT LEBANON,METN,SIN EL FIL,ADEL KHOURY MM,GROCERY,6,35.5351,33.8815,2
MOUNT LEBANON,METN,DEKWANEH,GEORGE MARKET,Newelneh,5,35.5484,33.8772,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,BALHA MM,GROCERY,5,35.5258,33.8729,2
MOUNT LEBANON,METN,DEKWANEH,FRIENDS MARKET,GROCERY,5,35.5498,33.8719,2
MOUNT LEBANON,SHOUF,BATLOUN,EL SAMAR ROASTERY,GROCERY,5,35.6471,33.6954,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,ABOU MOUSSA,GROCERY,6,35.523,33.8717,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,SANINE ROASTERY,GROCERY,6,35.5187,33.8659,2
MOUNT LEBANON,METN,CHEBANIYE,RAAD MARKET,GROCERY,4,35.7165,33.8153,2
MOUNT LEBANON,METN,HAMMANA,CHAABAN MARKET,GROCERY,4,35.7324,33.8273,2
MOUNT LEBANON,METN,HAMMANA,WISE CORNER,GROCERY,4,35.733,33.8252,2
BECAA,BAALBACK,TARAYA,ABDEL SATER SM,GROCERY,5,36.1711,34.0425,2
MOUNT LEBANON,DAHYEH,Ozai,CAFE 24 OZAI,Newelneh,5,35.4931,33.8561,2
MOUNT LEBANON,DAHYEH,AMERCAN,ABO DANI MARKET,GROCERY,6,35.5233,33.8554,2
MOUNT LEBANON,METN,MANSOURIEH,EL KANATER MM,Petrol Station,6,35.5612,33.8575,2
SOUTH,SAIDA,KFARMELKI,Taweel Mm,GROCERY,6,35.4777,33.5015,2
BECAA,ZAHLE,Zahle City,MM PAUL HATEM,GROCERY,5,35.9141,33.8394,2
BECAA,ZAHLE,Zahle City,COUCH TARD,GROCERY,5,35.905,33.845,2
BECAA,WEST BECAA,SAGHBINE,M.M HADDAD,GROCERY,6,35.7159,33.6406,2
MOUNT LEBANON,ALEY,ALEY,FAMILY FOOD,GROCERY,4,35.6024,33.8091,2
MOUNT LEBANON,ALEY,ALEY,mm AARAYA,GROCERY,5,35.5954,33.8306,2
SOUTH,JEZZINE,ROUM,BECHARA HADDAD,GROCERY,5,35.53,33.5512,2
SOUTH,JEZZINE,JEZZINE ROAD,ABO ZEID,GROCERY,5,35.5838,33.5433,2
SOUTH,JEZZINE,JEZZINE ROAD,PRIMA PRI SM,GROCERY,5,35.5835,33.5433,2
SOUTH,SAIDA,MAJDELYOUN,ALFA AXES,GROCERY,5,35.403,33.5635,2
BECAA,ZAHLE,Zahleh Rural,SM SAMIA,GROCERY,5,35.9683,33.8675,2
BECAA,ZAHLE,Zahleh Rural,KHATER,GROCERY,5,35.8529,33.8153,2
BECAA,ZAHLE,Zahleh Rural,ghassan chames,GROCERY,5,35.8544,33.8138,2
BECAA,ZAHLE,Zahleh Rural,SALEH AND CO,GROCERY,5,35.8554,33.8133,2
BECAA,ZAHLE,Zahleh Rural,STC ISMAIL W FAYEZ AL MASRI,GROCERY,5,35.8553,33.8134,2
BECAA,ZAHLE,Zahleh Rural,HASHEM JALALA,GROCERY,4,35.8651,33.8123,2
BECAA,ZAHLE,Zahleh Rural,HACHEM MM,GROCERY,4,35.8441,33.819,2
BECAA,ZAHLE,Zahleh Rural,HASHEM EST,GROCERY,4,35.8338,33.825,2
BECAA,ZAHLE,Zahle City,MM GEORGES MTANOUS,GROCERY,5,35.9091,33.8444,2
BECAA,ZAHLE,Zahleh Rural,MM MOUAATAMAD RHIMI,GROCERY,5,35.8904,33.8182,2
BECAA,Zahleh,ANJAR,BEDROS MAKHOLIAN,GROCERY,5,35.9365,33.7305,2
BECAA,ZAHLE,Zahleh Rural,HUSSAM SABRI,GROCERY,5,35.9121,33.7177,2
BECAA,ZAHLE,Zahleh Rural,AYOUB M.M,GROCERY,5,35.9744,33.8818,2
BECAA,BAALBECK,TAMNINE EL TAHTA,four stars market,GROCERY,5,35.9883,33.8922,2
BECAA,RACHAYA,RAFID,AL KADIRY,Petrol Station,5,35.8353,33.5881,2
MOUNT LEBANON,ALEY,BAISOUR,Jamil Mlaaeb,GROCERY,5,35.5555,33.7568,2
MOUNT LEBANON,DAHYEH,HARET HREIK,ATIEH MARKET,GROCERY,5,35.5147,33.8549,2
MOUNT LEBANON,METN,DEKWANEH,TRADER JONY,Newelneh,4,35.5433,33.8803,2
MOUNT LEBANON,DAHYEH,JAMOUS,JABER MM /ALMOLOUK,GROCERY,6,35.5203,33.845,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,HACHEM MM,GROCERY,6,35.5277,33.8725,2
MOUNT LEBANON,METN,MANSOURIEH,THE CONTAINER,Newelneh,5,35.561,33.8579,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,TANNINS MM,GROCERY,6,35.5179,33.8692,2
BECAA,BAALBACK,TARAYA,EL HAISSAM EST,GROCERY,4,36.034,33.9917,2
BECAA,ZAHLE,Zahleh Rural,NABIL ACHKAR STORES,GROCERY,4,35.867,33.8182,2
BECAA,ZAHLE,Zahleh Rural,SM SUN RISE,GROCERY,5,35.8549,33.8133,2
BECAA,ZAHLE,Zahleh Rural,SM MOURTADA,GROCERY,6,35.926,33.849,2
BECAA,ZAHLE,Zahle City,MM ABOU YAKDAM,GROCERY,5,35.9143,33.8398,2
BECAA,ZAHLE,Zahleh Rural,MM NAIIMI,GROCERY,6,35.8867,33.8214,2
BECAA,ZAHLE,Zahleh Rural,MM RANIA BOU HAMDAN,GROCERY,5,35.8674,33.8199,2
BECAA,ZAHLE,Zahleh Rural,NA2RASHAT,GROCERY,5,35.8835,33.8197,2
BECAA,WEST BECAA,Mansoura,MILED HANNA,GROCERY,5,35.8155,33.68,2
BECAA,BAALBECK,Shmistar,SAMAHA TRADING,GROCERY,5,36.0181,33.9643,2
BECAA,ZAHLE,Zahleh Rural,M.M AL MATAR,GROCERY,5,35.9984,33.8645,2
MOUNT LEBANON,SHOUF,DMIT,MINI ABO SAMIR,GROCERY,4,35.5149,33.6894,2
MOUNT LEBANON,ALEY,MAJDEL BAANA,LAMITA,GROCERY,5,35.6921,33.8025,2
MOUNT LEBANON,ALEY,SAOUFAR,SM SAWFAR,GROCERY,5,35.6982,33.8026,2
MOUNT LEBANON,ALEY,ALEY,G MART,GROCERY,5,35.609,33.8123,2
MOUNT LEBANON,ALEY,BHAMDOUN,BUTCHERY NASIF EL HABER,GROCERY,5,35.6278,33.7806,2
MOUNT LEBANON,METN,DEKWANEH,LET CHARIOT,GROCERY,5,35.5552,33.8753,2
MOUNT LEBANON,SHOUF,BAAQLINE,DAY AND NIGHT,GROCERY,5,35.5695,33.6777,2
SOUTH,SAIDA,SHARHABIL,ZAREEF MM,GROCERY,5,35.394,33.5787,2
SOUTH,SAIDA,JBAA ROAD,Mhamm Ad Dhyne,GROCERY,5,35.5194,33.4846,2
SOUTH,SAIDA,JBAA ROAD,Akram Dhiene,GROCERY,5,35.5189,33.4847,2
SOUTH,SAIDA,KFARMELKI,Sara Sm,GROCERY,6,35.4847,33.4986,2
BECAA,ZAHLE,Zahleh Rural,SM HASHEM,GROCERY,5,35.8851,33.8254,2
BECAA,ZAHLE,Zahleh Rural,YOUSSEF BOU DIWAN MM - TAALBAYA,GROCERY,4,35.8727,33.8158,2
BECAA,ZAHLE,Zahleh Rural,YOUSSEF ABOU DIWAN MM - SAADNAYEL,GROCERY,5,35.8643,33.8172,2
BECAA,ZAHLE,Zahleh Rural,SM SEHA,GROCERY,5,35.8716,33.8159,2
BECAA,ZAHLE,Zahleh Rural,MM KABALAN SAGHBINI,GROCERY,5,35.9821,33.8181,2
BECAA,ZAHLE,Zahle City,MM SADDI,GROCERY,5,35.9028,33.8475,2
BECAA,ZAHLE,Zahle City,tony market,GROCERY,4,35.9042,33.8348,2
BECAA,ZAHLE,Zahle City,ISSA SAAD STORES,GROCERY,5,35.9072,33.846,2
BECAA,BAALBECK,BRITEL,SEIF EL DINE MARKET,GROCERY,4,36.109,33.9474,2
BECAA,WEST BECAA,SAGHBINE,ABOU ASSY,GROCERY,6,35.7161,33.6406,2
BECAA,ZAHLE,Zahleh Rural,AL. HOUDOUD,GROCERY,4,35.9196,33.7039,2
BECAA,WEST BECAA,SAGHBINE,MIRNA MHANNA,GROCERY,5,35.6974,33.6113,2
BECAA,RACHAYA,Rachaya,ALI AL KADY,GROCERY,4,35.8339,33.524,2
BECAA,ZAHLE,Zahleh Rural,ABOU RJEILY MARKET,GROCERY,5,35.9927,33.7848,2
